perc.I	mpost	mpre	cond	cov.loss
0	92.8411452016708	51.191222554073	-ACN	41.6499226475978
0	90.3115025707321	42.2930173951958	+ACN	48.018485175536306
50	92.0467780485195	44.9252191429098	-ACN	47.121558905609696
50	89.9943771860207	34.2166487092168	+ACN	55.7777284768039
10	92.12058406737799	51.517381239230396	-ACN	40.603202828147595
10	90.5396559451186	39.7405608646771	+ACN	50.7990950804415
100	92.3530714618767	42.305772188378	-ACN	50.047299273498695
100	89.2104769888518	25.904418629757398	+ACN	63.30605835909439
